"","Test Type 1","Time 1(sec)","Test Type 2","Time 2 (sec)","Issues","Gender","Rating (1-5)","Feedback","Change (%)","...10","Time 1","Time 2 (changed)","...13","Diff-AVG","DIF_AVG SQAURE"
"1","Music","42","No Music","66","N/A","Female",5,"N/A","57.142857142857139",NA,"42","47.466408000000001",NA,76.7117134428571,5884.68697933903
"2","Music","46","No Music","57","N/A","Female",4,"N/A","23.91304347826086",NA,"46","40.993716000000006",NA,43.4818997782609,1890.67560832672
"3","Music","40","No Music","47","N/A","Male",4,"Nice Music","17.5",NA,"40","33.801836000000002",NA,37.0688563,1374.10010739005
"4","Music","37","No Music","36","N/A","transexual",3,"ye bruv very good cuz","-2.7027027027026946",NA,"37","25.890768000000001",NA,16.8661535972973,284.467137167625
"5","Music","36","No Music","35","N/A","Female",2,"N/A","-2.7777777777777857",NA,"36","25.171580000000002",NA,16.7910785222222,281.940317939432
"6","Music","29","No Music","27","N/A","Female",5,"Differemt Music","-6.8965517241379359",NA,"29","19.418076000000003",NA,12.6723045758621,160.587303263415
"7","Music","28","No Music","26","N/A","Female",3,"N/A","-7.1428571428571388",NA,"28","18.698888",NA,12.4259991571429,154.405455053315
"8","Music","64","No Music","59",NA,"Male",3,"N/A","-7.8125",NA,"64","42.432092000000004",NA,11.7563563,138.21191345255
"9","Music","48","No Music","42","N/A","Female",4,"N/A","-12.5",NA,"48","30.205896000000003",NA,7.0688563,49.9687293900497
"10","Music","46","No Music","40","N/A","Male",1,"use s3rl - mtc","-13.043478260869563",NA,"46","28.767520000000001",NA,6.52537803913044,42.5805585535658
"11","Music","43","No Music","36","N/A","Female",3,"N/A","-16.279069767441854",NA,"43","25.890768000000001",NA,3.28978653255815,10.822695429801
"12","Music","60","No Music","49","N/A","Female",5,"N/A","-18.333333333333329",NA,"60","35.240212",NA,1.23552296666667,1.52651700116081
"13","Music","75","No Music","60","N/A","Female",4,"N/A","-20",NA,"75","43.15128",NA,-0.4311437,0.18588489004969
"14","Music","60","No Music","47","N/A","Female",1,"N/A","-21.666666666666671",NA,"60","33.801836000000002",NA,-2.09781036666667,4.40080833449415
"15","Music","50","No Music","38","N/A","Female",4,"N/A","-24",NA,"50","27.329144000000003",NA,-4.4311437,19.6350344900497
"16","Music","52","No Music","38","N/A","Male",5,"N/A","-26.923076923076934",NA,"52","27.329144000000003",NA,-7.35422062307693,54.0845609728901
"17","Music","48","No Music","35","N/A","Male",4,"Good 1 m8","-27.083333333333343",NA,"48","25.171580000000002",NA,-7.51447703333334,56.4673650844943
"18","Music","65","No Music","44","N/A","Male",3,"N/A","-32.307692307692307",NA,"65","31.644272000000001",NA,-12.7388360076923,162.277942830878
"19","Music","60","No Music","39","N/A","Female",4,"Better second time","-35",NA,"60","28.048332000000002",NA,-15.4311437,238.12019589005
"20","Music","60","No Music","37","N/A","Female",3,"order","-38.333333333333329",NA,"60","26.609956",NA,-18.7644770333333,352.105598334494
"21","Music","57","No Music","34","N/A","Male",1,"Better second time","-40.350877192982459",NA,"57","24.452392000000003",NA,-20.7820208929825,431.892392396359
"22","Music","60","No Music","34","N/A","Female",1,"Start & ending on a number","-43.333333333333336",NA,"60","24.452392000000003",NA,-23.7644770333333,564.750368667828
"23","Music","66","No Music","37","N/A","Male",2,"N/A","-43.939393939393945",NA,"66","26.609956",NA,-24.3705376393939,593.923104833117
"24","Music","68","No Music","38","N/A","Male",4,"Good Job","-44.117647058823529",NA,"68","27.329144000000003",NA,-24.5487907588235,602.643127720499
"25","Music","60","No Music","33","N/A","Female",1,"Choose Music","-44.999999999999993",NA,"60","23.733204000000001",NA,-25.4311437,646.743069890049
"26","Music","58","No Music","31","N/A","Male",3,"Confused","-46.551724137931039",NA,"58","22.294828000000003",NA,-26.982867837931,728.075156759253
"27","Music","61","No Music","30","N/A","Male",1,"More Trials","-50.819672131147541",NA,"61","21.57564",NA,-31.2508158311475,976.613490112302
"28",NA,"52.555555555555557",NA,"40.555555555555557",NA,NA,3.07407407407407,NA,"-19.568856312804321",NA,NA,NA,NA,NA,581.699682352353
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1184510769733
"30",NA,NA,NA,NA,NA,NA,NA,NA,"-19.5688563",NA,"lower quartile:","Median","upper quartile:",NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-40.350877189999999","-21.666666670000001","-7.1428571429999996",NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"interquartile range",NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.208020046999998",NA,"-40.350877189999999",NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","UNUSEABLE DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Music","35","No Music","-","No Time","Male",4,"Switch Orders","-",NA,NA,NA,NA,NA,NA
"38","Music",">75","No Music","71","Time","Male",1,"Inaccurate Timing","-",NA,NA,NA,NA,NA,NA
